threshold,coverage,accuracy,acute_fn_rate,rejection_rate,n_above
0.3,0.9963485477178423,0.9421955688822256,0.031176192725555052,0.0036514522821576856,6003
0.325,0.9955186721991701,0.9429809936645549,0.03026004728132392,0.004481327800829882,5998
0.35000000000000003,0.9941908713692946,0.9435726210350585,0.029829545454545414,0.0058091286307053736,5990
0.37500000000000006,0.9928630705394191,0.9448345035105316,0.028449502133712667,0.007136929460580865,5982
0.4000000000000001,0.9908713692946058,0.9455611390284757,0.028001898433792083,0.009128630705394158,5970
0.4250000000000001,0.9880497925311204,0.9470855031076768,0.02571428571428569,0.011950207468879648,5953
0.4500000000000001,0.9860580912863071,0.9484935196094934,0.024797329518359557,0.013941908713692941,5941
0.47500000000000014,0.9845643153526971,0.9494268374915711,0.02387774594078318,0.015435684647302939,5932
0.5000000000000002,0.9824066390041494,0.9510052373711776,0.022955523672883782,0.017593360995850627,5919
0.5250000000000001,0.9804149377593361,0.9514135771119011,0.02249880325514597,0.01958506224066392,5907
0.5500000000000003,0.9767634854771784,0.9529311809685641,0.02113352545629199,0.023236514522821605,5885
0.5750000000000002,0.9741078838174274,0.9538251831657863,0.020221473278767443,0.02589211618257259,5869
0.6000000000000003,0.970954356846473,0.9550427350427351,0.019295706705258042,0.02904564315352698,5850
0.6250000000000002,0.9674688796680498,0.9564247726882827,0.018840579710144967,0.03253112033195016,5829
0.6500000000000004,0.9648132780082987,0.957509031481163,0.018858800773694395,0.03518672199170125,5813
0.6750000000000003,0.9608298755186722,0.9587148039385041,0.01792635658914732,0.03917012448132784,5789
0.7000000000000004,0.9563485477178423,0.960603956959389,0.017492711370262426,0.04365145228215772,5762
0.7250000000000003,0.9503734439834025,0.9626266154383514,0.017056530214424992,0.04962655601659749,5726
0.7500000000000004,0.9467219917012448,0.9637096774193549,0.0165934602244997,0.053278008298755175,5704
0.7750000000000004,0.9430705394190871,0.9649771207321366,0.016617790811339184,0.05692946058091286,5682
0.8000000000000005,0.9387551867219917,0.9667609618104668,0.015218458517427536,0.06124481327800835,5656
0.8250000000000004,0.9326141078838174,0.9681437978287951,0.013799901429275452,0.06738589211618262,5619
0.8500000000000005,0.9271369294605809,0.9699248120300752,0.013326752221125338,0.0728630705394191,5586
0.8750000000000004,0.9214937759336099,0.9728025936599424,0.010907288051561714,0.07850622406639007,5552
0.9000000000000006,0.9148547717842324,0.9755079825834543,0.008968609865470878,0.08514522821576764,5512
0.9250000000000005,0.9052282157676349,0.9776310964429776,0.007518796992481258,0.0947717842323651,5454
0.9500000000000006,0.8907883817427386,0.980435997764114,0.006063668519454279,0.10921161825726144,5367
0.9750000000000005,0.870207468879668,0.9843600991798589,0.005104645227156701,0.12979253112033196,5243
